"hogares","conteo","POB1"
"1300300010349",3,2260
"1300300100230",2,1347
"1300800010171",2,2469
"1300900010126",1,981
"1300900010145",1,352
"130090018",7,13586
"1301200010085",2,1464
"1301200010136",1,1499
"1301200010140",1,1214
"1301300100222",1,1917
"1302100010050",1,379
"1302200010058",12,1324
"1302200010062",5,950
"1302200010077",23,940
"13022001A",120,7584.92624768819
"130220024",142,5390.07375231181
"1302300010040",1,2763
"1302400010052",1,249
"130240048",3,6985.32745773266
"130300030",1,10927.5988078867
"1303100010076",1,2118
"1303800010039",1,483
"13038001A",6,5300.50667586512
"1303900010055",10,810
"130390001006A",14,225
"1303900010074",56,2698
"1303900010089",29,1677
"1303900010093",31,1071
"1303900010106",25,916
"1303900010110",51,1630
"1303900010125",23,963
"130390001013A",31,1159
"130390017",53,3175
"1304500010033",1,643
"130450014",5,4585.74317702044
"130480001004A",67,2436
"1304800010054",74,2672
"1304800010069",56,2930
"1304800010105",165,2393
"130480001011A",84,1505
"1304800010124",104,1590
"1304800010139",184,1126
"1304800010143",221,2133
"1304800010158",61,2976
"1304800010162",217,5201
"1304800010177",381,3057
"1304800010196",158,1478
"1304800010209",102,1342
"1304800010213",127,1246
"1304800010228",161,2357
"1304800010247",77,1028
"1304800010251",202,2539
"1304800010285",164,2414
"1304800010355",232,1754
"130480001036A",153,1981
"1304800010389",186,3359
"1304800010406",230,3179
"1304800010425",242,1692
"1304800010444",64,1547
"1304800010478",278,4944
"1304800010529",383,1715
"1304800010548",187,212
"1304800010586",277,1994
"1304800010590",64,2817
"1304800010603",106,2104
"1304800010618",112,3256
"1304800010622",173,2299
"1304800010694",4,696
"1304800010745",115,2802
"130480001075A",16,0
"1304800010764",357,2894
"1304800010779",165,780
"1304800010783",155,2771
"1304800010815",61,1816
"130480001082A",35,2284
"1304800010834",64,1391
"1304800010849",22,1086
"1304800010853",24,2153
"1304800010868",60,1790
"1304800010872",42,1063
"1304800010891",43,1984
"1304800010904",27,1692
"1304800010919",250,3373
"1304800010923",207,2762
"1304800010938",71,1409
"1304800010942",123,2915
"1304800010957",29,1188
"1304800010961",91,2106
"1304800010976",235,1586
"1304800010980",203,2786
"1304800010995",165,4035
"130480001100A",88,3054
"1304800011014",1,NA
"1304800011048",124,2441
"1304800011052",173,4039
"1304800011067",63,1860
"1304800011071",32,1421
"1304800011090",99,2255
"1304800011118",123,2722
"1304800011122",83,3004
"1304800011137",114,2456
"1304800011156",127,2863
"130480001118A",41,1531
"1304800011194",31,1811
"1304800011207",3,NA
"1304800011245",40,2499
"1304800011264",42,1495
"1304800011279",2,83
"1304800011283",1,159
"1304800011298",47,1280
"1304800011300",52,916
"1304800011315",2,239
"1304800011349",17,353
"1304800011353",11,114
"1304800011372",62,1113
"1304800011387",69,1560
"1304800011391",26,1387
"1304800011404",13,1068
"1304800011419",75,2768
"1304800011423",84,515
"1304800011438",66,1837
"1304800011442",33,559
"1304800011457",12,449
"1304800011476",24,461
"1304800011508",103,2353
"1304800011512",59,904
"1304800011527",223,2517
"1304800011531",125,2993
"1304800011546",160,1976
"1304800011550",292,638
"1304800011565",84,2041
"1304800011599",38,2532
