"","hogares","conteo","POB1"
"1","1300100010043",1,439
"2","13001001A",3,4851
"3","130010024",21,8697
"4","130010039",18,8281
"5","1300200010125",5,1753
"6","130020001013A",2,2108
"7","130020001020A",1,47
"8","1300200130163",1,1150
"9","1300200130248",2,940
"10","1300200160106",15,2090
"11","1300200160182",5,783
"12","130020017",56,21334
"13","130020040",110,7663
"14","1300300010103",6,434
"15","1300300010118",11,1102
"16","1300300010141",16,3205
"17","1300300010156",59,1351
"18","1300300010160",38,4246
"19","1300300010175",89,2650
"20","130030001018A",44,1386
"21","1300300010211",66,1540
"22","1300300010226",41,1301
"23","130030001025A",4,674
"24","1300300010264",3,829
"25","1300300010279",19,2223
"26","1300300010283",43,1740
"27","1300300010300",2,44
"28","1300300010315",3,235
"29","130030001032A",2,165
"30","1300300010334",1,3
"31","1300300010349",60,2260
"32","1300300010353",21,1627
"33","1300300010368",38,3323
"34","1300300010372",19,1469
"35","1300300050391",9,1925
"36","1300300050404",14,1109
"37","1300300100230",9,1347
"38","1300300100245",8,2137
"39","1300300120086",35,2754
"40","1300300140387",1,3131
"41","130030029_D",2,53
"42","130030029_K",49,5180
"43","130030029_P",3,555
"44","130030033",31,4903
"45","130030090",90,4900
"46","130040001005A",2,912
"47","1300400010064",2,576
"48","1300400010079",1,440
"49","130040011",3,3238
"50","130040026",6,4750
"51","130050001017A",2,114
"52","1300500010184",2,486
"53","1300500010199",14,2873
"54","1300500010201",29,1708
"55","1300500010220",3,1212
"56","130050005024A",20,2813
"57","1300500060076",8,861
"58","1300500060381",5,476
"59","1300500060396",1,472
"60","130050019",5,269
"61","130050038_V",19,2970
"62","130050057",4,9
"63","130050061",2,379
"64","1300600010069",1,78
"65","1300600010073",1,827
"66","1300600010088",2,889
"67","130060016",4,2609
"68","130060020",5,8160
"69","13006004A",2,6194
"70","1300700010085",3,1363
"71","130070001009A",3,3309
"72","130070013",4,1694
"73","130070028",10,3174
"74","130070047",2,2060
"75","1300800010059",10,2568
"76","1300800010063",15,3768
"77","1300800010097",4,4012
"78","1300800010114",1,1849
"79","1300800010152",17,2786
"80","1300800010167",1,1608
"81","1300800010171",13,2469
"82","1300800010186",4,1771
"83","1300800010241",1,211
"84","130080001028A",17,1941
"85","1300800010294",5,2340
"86","1300800050129",6,1578
"87","1300800050133",2,1116
"88","1300800110148",1,1090
"89","130080025",27,3510
"90","13008003A",47,4609
"91","130080044",6,3422
"92","1300900010060",3,349
"93","1300900010126",11,981
"94","1300900010130",30,791
"95","1300900010145",43,352
"96","130090001015A",4,1105
"97","1300900050107",22,1551
"98","1300900050111",21,1121
"99","130090018",183,13586
"100","1301000010023",23,2517
"101","1301000010042",9,4163
"102","130100001017A",4,142
"103","1301000020080",6,3778
"104","1301000020095",2,2867
"105","1301000020184",2,622
"106","1301000020254",1,653
"107","1301000020362",1,988
"108","1301000060273",2,3384
"109","1301000070038",21,2797
"110","1301000080288",2,1104
"111","1301000080292",4,1226
"112","1301000080305",1,1263
"113","130100324",14,2256
"114","130100339",53,166
"115","1301200010085",17,1464
"116","1301200010117",33,2939
"117","1301200010121",9,1136
"118","1301200010136",67,1499
"119","1301200010140",15,1214
"120","130120013",38,6355
"121","130120032",28,4423
"122","130120066",118,9801
"123","1301300010078",2,1455
"124","1301300010082",4,1516
"125","1301300010133",9,3253
"126","1301300010148",3,2598
"127","1301300060114",4,2154
"128","1301300060129",6,2248
"129","1301300060241",1,246
"130","130130010_X",22,4967
"131","1301300100222",9,1917
"132","1301300100237",4,1266
"133","1301300130203",7,1505
"134","1301300130256",1,1325
"135","1301300130260",4,1421
"136","13013003A",29,2699
"137","130130044",5,7180
"138","1301400010075",1,756
"139","130140001008A",1,558
"140","1301400010094",3,1033
"141","1301400010107",1,838
"142","1301400010111",3,235
"143","130140018",8,4781
"144","130140037",6,4704
"145","1301500010087",3,755
"146","130150015",4,6688
"147","13015002A",1,2870
"148","130150049",27,1246
"149","130150053",2,4903
"150","130150068",1,388
"151","1301600010050",29,4328
"152","1301600010065",10,2278
"153","1301600010084",10,1415
"154","1301600010099",4,1245
"155","1301600010101",7,1384
"156","1301600010116",2,1941
"157","1301600010120",7,3168
"158","1301600010188",1,318
"159","1301600010192",3,277
"160","1301600010309",7,1330
"161","1301600010313",1,2060
"162","1301600010347",8,786
"163","1301600210281",2,1535
"164","1301600210296",2,1539
"165","130160027",1,5715
"166","1301600290277",1,1486
"167","130160031",3,3129
"168","1301600390328",2,1789
"169","1301600390332",5,1221
"170","130160205",35,18901
"171","13016021A",2,326
"172","130170024",2,4993
"173","130170039",2,5693
"174","1301800010055",1,1758
"175","130180001006A",5,2197
"176","130180017",3,7210
"177","130180021",4,9501
"178","1301900010033",1,626
"179","130190014",9,11539
"180","1301900150086",2,1491
"181","130190029",9,3596
"182","1302000010068",1,247
"183","1302000010072",1,202
"184","13020002A",1,699
"185","130200034",5,1146
"186","1302100010050",12,379
"187","1302100010065",14,2119
"188","130210001007A",5,1922
"189","1302100010101",6,1872
"190","1302100010116",10,1626
"191","130210012",119,5562
"192","130210031",10,29
"193","1302200010058",59,1324
"194","1302200010062",32,950
"195","1302200010077",58,940
"196","13022001A",721,5967
"197","130220024",667,7008
"198","1302300010036",31,4483
"199","1302300010040",24,2763
"200","130230001006A",4,1319
"201","1302300010074",4,1237
"202","1302300010089",2,1533
"203","1302300120055",33,3811
"204","1302300140093",3,1587
"205","1302300140106",2,252
"206","1302300140110",14,2373
"207","1302300140125",11,1803
"208","130230017",85,15057
"209","1302400010052",51,249
"210","130240014",161,6413
"211","130240029",5,1093
"212","130240033",5,2501
"213","130240048",151,7183
"214","13025005A",12,4713
"215","1302600010023",1,770
"216","1302700010105",1,1781
"217","130270035",6,5693
"218","13027004A",1,5031
"219","1302800010136",2,925
"220","1302800010189",1,1672
"221","1302800010193",1,1955
"222","1302800010206",2,1525
"223","1302800010210",1,2700
"224","1302800010244",2,2230
"225","1302800010259",1,1772
"226","1302800010314",1,3478
"227","1302800010494",3,2092
"228","130280001055A",1,1199
"229","1302800230348",1,1034
"230","130280047",5,29424
"231","130280051",2,23426
"232","1302800880460",1,1589
"233","130290001010A",3,2975
"234","1302900010114",3,4431
"235","1302900010256",6,1174
"236","1302900010260",3,1273
