"hogares","conteo","POB1"
"130010024",3,6631.59548145663
"1300300010141",1,3205
"1300300010156",4,1351
"1300300010160",1,4246
"1300300010175",6,2650
"130030001018A",3,1386
"1300300010211",2,1540
"1300300010226",2,1301
"1300300010279",1,2223
"1300300010283",3,1740
"1300300010349",9,2260
"1300300010372",1,1469
"1300300100230",2,1347
"130030029_K",2,1636.27243017758
"130030033",1,5810.39503677767
"130030090",5,1606.64944164311
"1300400010064",1,576
"130040026",1,4915.40150094064
"1300500010201",1,1708
"130050005024A",1,2813
"130050038_V",1,826.076833476982
"130070013",1,2707.9965507236
"1300800010171",1,2469
"130080025",3,3533.00663450331
"1300900010130",3,791
"1300900050107",1,1551
"130090018",8,13586
"1301000010023",1,2517
"1301000010042",1,4163
"1301000020080",1,3778
"130100324",1,913.050280235829
"1301200010117",3,2939
"1301200010136",3,1499
"130120013",1,6078.26843831878
"130120032",2,6094.91247745755
"130120066",1,4015.6695908778
"130130010_X",2,4628.97165669213
"1301300100222",1,1917
"1301600010050",4,4328
"1301600010116",1,1941
"1301600210296",1,1539
"130160027",1,10537.0156112444
"130160205",1,6836.4683726201
"130180021",1,8151.3185961141
"1302100010050",1,379
"130210001007A",1,1922
"1302100010101",1,1872
"1302200010058",10,1324
"1302200010062",3,950
"1302200010077",7,940
"13022001A",111,7584.92624768819
"130220024",95,5390.07375231181
"1302300010036",1,4483
"1302300010040",1,2763
"1302300010089",1,1533
"1302300120055",1,3811
"130230017",4,15057
"130240014",6,4621.78989343908
"130240048",8,6985.32745773266
"13025005A",2,4072.41259274496
"1302800010206",1,1525
"130290001010A",1,2975
"1303000010083",1,2247
"1303000010204",2,1738
"1303000010242",1,3521
"1303000010327",1,3861
"1303000010346",1,2287
"130300001037A",1,1625
"1303000010384",1,1365
"130300026",2,9240.66920458345
"130300030",1,10927.5988078867
"13030005A",2,10352.0998928025
"1303100010076",1,2118
"1303500010037",2,2199
"130350018",1,4504.61120013839
"13036002A",1,2633.21134918573
"1303700010188",1,1129
"1303700010192",1,632
"130370050",2,2018.98275822469
"130370101",1,1118.56404739851
"1303800010039",2,483
"13038001A",15,5300.50667586512
"130380024",1,3044.49332413488
"1303900010055",5,810
"130390001006A",13,225
"1303900010074",34,2698
"1303900010089",42,1677
"1303900010093",27,1071
"1303900010106",47,916
"1303900010110",39,1630
"1303900010125",13,963
"130390001013A",27,1159
"130390017",47,3175
"1304100010072",3,2454
"1304100010091",1,874
"1304100010142",1,4083
"1304100010161",1,3159
"1304100010180",2,2604
"1304100010195",1,1301
"1304100010208",1,2474
"130410015",1,8070.26941565518
"130430043",1,1068.75566983824
"130450014",2,4585.74317702044
"130480001004A",81,2436
"1304800010054",43,2672
"1304800010069",44,2930
"1304800010105",104,2393
"130480001011A",59,1505
"1304800010124",157,1590
"1304800010139",286,1126
"1304800010143",175,2133
"1304800010158",66,2976
"1304800010162",132,5201
"1304800010177",138,3057
"1304800010196",119,1478
"1304800010209",123,1342
"1304800010213",405,1246
"1304800010228",80,2357
"1304800010247",49,1028
"1304800010251",166,2539
