"hogares","conteo","POB1"
"130010039",1,5893.09280541922
"1300300010141",1,3205
"1300300010156",5,1351
"1300300010175",2,2650
"1300300010279",1,2223
"1300300010283",2,1740
"1300300010368",2,3323
"1300300010372",1,1469
"1300300100245",2,2137
"130030029_K",3,1636.27243017758
"130030090",4,1606.64944164311
"1300500010199",3,2873
"130050005024A",1,2813
"1300500060381",1,476
"130050019",1,1079.53241019751
"130050061",1,717.401890810121
"130070013",1,2707.9965507236
"130070028",1,2964.44353115498
"1300800010171",1,2469
"1300800010186",1,1771
"130080025",1,3533.00663450331
"13008003A",1,2883.70489622571
"1300900010126",1,981
"1300900010130",2,791
"130090018",6,13586
"1301000010023",1,2517
"1301200010085",1,1464
"1301200010121",1,1136
"1301200010136",2,1499
"1301200010140",1,1214
"130120013",1,6078.26843831878
"130120066",2,4015.6695908778
"130130010_X",2,4628.97165669213
"1301300100237",1,1266
"1301300130203",1,1505
"1301300130260",1,1421
"130150068",1,2505.60345495086
"1301600010309",1,1330
"130160205",2,6836.4683726201
"1301800010055",1,1758
"1302100010065",1,2119
"130210031",1,2753.05334159298
"1302200010058",8,1324
"1302200010062",7,950
"1302200010077",6,940
"13022001A",104,7584.92624768819
"130220024",88,5390.07375231181
"1302300010040",1,2763
"1302300120055",4,3811
"130230017",1,15057
"130240014",3,4621.78989343908
"130240048",4,6985.32745773266
"1303000010083",1,2247
"1303000010187",1,1280
"1303000010204",1,1738
"1303000010238",1,2930
"13030005A",1,10352.0998928025
"1303100010076",1,2118
"130310023",1,1234.67872485983
"130350018",1,4504.61120013839
"130350022",1,6180.89587347778
"1303700010154",1,1496
"1303700010188",1,1129
"13038001A",21,5300.50667586512
"130380024",1,3044.49332413488
"1303900010055",4,810
"130390001006A",14,225
"1303900010074",34,2698
"1303900010089",23,1677
"1303900010093",15,1071
"1303900010106",56,916
"1303900010110",40,1630
"1303900010125",7,963
"130390001013A",27,1159
"130390017",43,3175
"1304100010142",1,4083
"1304100010208",3,2474
"130420027",1,2438.13547874352
"130440021",1,4925.81500065564
"1304500010033",1,643
"130450014",7,4585.74317702044
"130480001004A",78,2436
"1304800010054",66,2672
"1304800010069",34,2930
"1304800010105",82,2393
"130480001011A",55,1505
"1304800010124",102,1590
"1304800010139",262,1126
"1304800010143",189,2133
"1304800010158",59,2976
"1304800010162",176,5201
"1304800010177",223,3057
"1304800010196",117,1478
"1304800010209",107,1342
"1304800010213",175,1246
"1304800010228",105,2357
"1304800010247",61,1028
"1304800010251",147,2539
"1304800010285",80,2414
"1304800010355",163,1754
"130480001036A",107,1981
"1304800010389",265,3359
"1304800010406",128,3179
"1304800010425",194,1692
"1304800010444",45,1547
"1304800010478",152,4944
"1304800010529",311,1715
"1304800010548",138,212
"1304800010586",156,1994
"1304800010590",52,2817
"1304800010603",60,2104
"1304800010618",58,3256
"1304800010622",115,2299
"1304800010694",5,696
"1304800010745",66,2802
"130480001075A",10,0
"1304800010764",224,2894
"1304800010779",174,780
"1304800010783",81,2771
"1304800010815",68,1816
"130480001082A",22,2284
"1304800010834",53,1391
"1304800010849",18,1086
"1304800010853",25,2153
"1304800010868",29,1790
"1304800010872",32,1063
