"device_IDs","hogares"
"a21iMzFudHIxYjZwOjN2MGRkaWt1MzJocDI=","1306900051067"
"a21rMjRxdnFwN2pyOjRxbGp2MHRkbW00dTk=","1304800010389"
"a25lOTNpNXRvdTA0OjZnMWtwY2Ntb2JyMmc=","1304800011940"
"a25ndnE5c3NlYnBmOmVtZGFsODNtbmhiM3A=","130030029_K"
"a25nNHJtbWI0NG9oOjVvdXZqODA0bXQ5MnI=","1306900420675"
"a25sdWhnbGF2b2p0OjRtcnFxc2R1NnR1dHU=","13030005A"
"a25xMnAydWM2a2g2OmNxaWVvaXRlbG4xamc=","1304800010162"
"a284NzBqOTU3czJjOmY3aW5odWhhdDhya24=","130510577_Z"
"a28zM2ZncGZwMHIzOjFmdXNrcG9qbzdpNWk=","1304800011067"
"a29nM2YzOWliM3UzOmYxZzM1a2ttZGdzODU=","1304800010162"
"a29taDRramZiZWYzOmo1NHN1aTM4N25wOA==","130480001004A"
"a29yZDQwM2U0cGdsOmNvODA4NDVhOTV1YjQ=","1304800011847"
"a2dyOGcwMHBxdjhpOjNzY3M0amR2a29laWw=","1306900080213"
"a2FjYTZjMDVsNWtzOmNkZHJsbm4xdW4zZjc=","130300045"
"a2FqbmhvNHR1NXVhOmFkc3BsdTFvcDJvOG0=","1304800010213"
"a2hvcTEzMHRoMXJpOmRrcTBvczM2bzd0cg==","1300900050107"
"a2Jka3N0dmpocG85OmJ0ZXZlNGRwZmcyaWg=","1304800010228"
"a2JtaWxpMnVlYWRiOjI1ZWY1aGY1bjdxN2c=","1304800010745"
"a2l1ZG1sZ29rYThhOmR0dXNwc2VtMm4wYWc=","1306900420656"
"a2loZnE4aWlxaDA1OjM5b2ppNXFsZTgzMmk=","1304800012347"
"a2lwdXBzamFjMGU2OjNtc2dtb2NpM2s4OGw=","1304800010389"
"a2M1NmR0cnJvOTdmOjZtY2huNmZmNTZhMWc=","1304800011052"
"a2N2bzNmbjlxNzE5OjVkZGQ4ZmkzM2E5cm4=","130480001011A"
"a2NjM2M1cWRhM2hlOjc4dG1hZm9zN3A5Ymo=","130690016_I"
"a2NpNGo2ZmM1c2J0OjFpdnFsMjJpa2xuZHQ=","1304800012775"
"a2NrM25yNHUwYWM1OjNlZzE3YmtmOThkNjg=","1304800010143"
"a2NwZHFpbGV2bjhhOjRjMXM1YTIxOGlpaWI=","1305100291202"
"a2o2czNqdGpjbjFqOmIzZXZiZ2g1ZWV0azI=","1306900020919"
"a2o2N2wzNTlzYjR1OjFhcG0xMWVhbGkxdjg=","1304800010143"
"a2oxdTU4b2l0cTBjOjRxdmdkZjE5YmtzcWM=","1305700010072"
"a2oyb2p2YjZtMDl2OjR2NmpyYXQyMWIzazg=","1304800012417"
"a2p1Mm5tcTB1M3RoOmh1Y3Q4Y21iMTluaA==","1304800011048"
"a2pjcWg0dGRxNjYwOjJvamFuNmQ3b3BvMDc=","13083002A"
"a2pqb3B2OG1vOTNqOjRsaGZsODhoZjl0dHM=","1304800011048"
"a2psMW03dmFtdWhiOjYxa2Y0bXE3bGg1M2I=","1304800012347"
"a2Q3b3V0bmNidGY4OjU1ZmtxcHJha21tMWg=","1304800012506"
"a2RqcTBvdTlmdWVkOjRhMHBtYXBrMjhpb2k=","1306900020497"
"a2RsZGhmOXFqZ2pyOmFiYjdmMnVmNDJtdTE=","1304800012347"
"a2s2YjBhbDNndW1iOmZ1c2Q1Z25zYm5lOGQ=","130450014"
"a2sxdHQ3N3I4OXZxOjFtNTVoamFsajhjaTA=","1306600080118"
"a2szNDZvYTkxdHUwOjhhZ2dkYTVzaHU3ODM=","1304800012421"
"a2t1N2RidG9paWVxOjJla2N2dHFkMXZocDE=","1306900010177"
"a2tuc2Z1N24xY2c5OmI0ZnQwYWppc2Zxaw==","1305100291202"
"a2VlajU1aWs1NWZqOjNudHFqMnMxZDVicHY=","1304800010919"
"a2VoZmxudmU4MDE1OjFydGYyNmFwOGQxcms=","1304800010764"
