"device_IDs","hogares"
"a21qc3Q2cGthZzBiOmNqbGxtb2VsZDZnMmo=","1304800011118"
"a244YnZ2b2p2cjg0OmExc2R1MGtwZDVvYTU=","1306900440815"
"a25xYW9kaWdzaWloOjduNms3dmR2YjYwY3I=","1304800010923"
"a284N2FxM2hxa3NyOjU4YzdlaHRoYTNxNnQ=",NA
"a2dmb2VoZnBvOWNqOjZ2czZsMmRzM3NsbXY=","130510577_Z"
"a2E4YnB2Nm4xbjBvOmZoaGRnOW90aHUzcXU=",NA
"a2EzbzBwdGdxMmpnOjE4djM2Y2hvcjlydHE=","1304800010904"
"a2FqMjJjbGd1NTZxOjk2ajByNTZqc25ncTU=","1304800012845"
"a2g3NmV2MGlkMGVxOjJtcW44djZ0azZnaTI=","1304800010389"
"a2g3ZnY3MmQ3N3FrOjV2cmsxcnR2NzJuNG0=","1304800012366"
"a2hjdnMzNjdkY2FlOmJiMWdwOXQyMzJsY28=","1304800012192"
"a2hsdDE2aWs1MzJ1OmZxZjloaGg0dThxdDI=","1304800010923"
"a2huNnRmdXFjOTU1OjJoYWQ3bWFnNDIyZjc=","1304800010849"
"a2hvczYyNzFocmpnOjQ5ZmNubG05YTY0dGk=","1304800012351"
"a2I2N2NrYTU1bG5pOjIyNTJnZXQ1MHA3MW4=","1304800011955"
"a2JjYWlvampkbW5rOmUxczk5b2dnczFvaGw=","1304800012366"
"a2JmbnBibzBkMjNzOjZsdnZlaGJlYnUzNjM=","1305100831984"
"a2JxbThoNTk3Nzc1OmJ1Z2Z1bjhsamFuOWo=","1305100631255"
"a2l0MjE3dW00b2h0OmZkY2g2NW0ydXI1YzI=","1305100271965"
"a2N1anI2djRiMTJyOmM0dG9tcmY3Y2hzY3Q=","1304800010478"
"a2NqdmpjMWwwODQ4OnFuOHJtYXNlZm5laQ==","1304800012169"
"a2p1OHU1aWFhdDBzOmZvMWwxNXMwNG04cjA=","1305101391560"
"a2ptbnFqMWpiZXVsOmU0MGxxMjhwcnA1OG8=","1304800010425"
"a2puNHFsMGdkdjgzOmw5MmZsYmg5dGQyYg==","1308301330528"
"a2RvYzlodjNxZjFxOjlncDZnOGQ0dmp2M3Q=","1308301330481"
"a2RvZGljbzBvYzFiOmJuZHNscWd0c2k3amU=","1305101482183"
"a2RzZjg3ZnR1OHU2OmVtb2VsOGhpOW43OGo=","130690016_I"
"a2t0a2ViaHMzY29rOjdhMjUzdHNobGkxcjE=",NA
"a2ttdTFpMWNhcHE5OjFpM2piOTIybTM4NGs=","1304800011071"
"a2V2OWlrNmdiOHVvOmEycGgyMzZzOHA1OHQ=",NA
"a2VrMXZlMGdxZ21xOjFxZDFrYmxmcTVraDQ=",NA
"a2VuMjJmNjhnc3NiOmUwc2ZycnU4MzY3ZW4=","1305100270717"
"a2Z0bW52Z2tpMWdiOmhncW45aGl1cm1xZg==",NA
"a2ZudjVmYWp0YzU4OjlzMWZmczlwdXRzbmY=","1304800011118"
"a3F2anJqZ3Vla2JyOjlpZTc0MTZsOG82ZHY=","1304800013082"
"a3FhczBwN3ZzMnNyOmZwcmx2M2VucmVwbjI=","1304800012192"
"a3JmMHZ2dWVwb2c5OjdwdmtscGp1aGpuM2Q=","1306900190410"
"a3JrcnMxZmllOWdpOjEzZnAxa3Vnc3FhaXA=","1304800011527"
"a3Q5Mjdmam1idTRuOmJlYmliYTc5aGo5NzY=","1305100012041"
"a3ZpM3UwYTZtdHJnOmZtMWtkaWNhaDl1dXI=","1304800012008"
"a3ZrOThwMHBxdjJhOmFucWo3MHJmMnRhY2U=","1304800011565"
"aDA0anUzZmIyN2RyOnBmNnNiODRtdmIwMQ==","1304800012188"
"aDBjZWlhcXU2cGp0OmVncWZyZTdkcTZjbTA=",NA
"aDBrOGR0cDFyNjlxOjZpa2ZkYWNtcnNsazc=","130690016_I"
"aDBvb3U0NTZ0OGZlOmI5cHNvbTBrMTVxMWU=","130520023"
"aDdkbmdvM250a3NyOjU2c2E2azJzMnE3bXM=","1305101512319"
"aDEybThvNXB2cjE3OmQ4NXQ0cnZiM2cycms=","1305100041109"
"aDFzcTB0NnV2NW0wOmQ3Zm9kZG1rb2g4MDI=","1305100931306"
"aDgzMml2cDNnY2YzOjM5b25mYmlhY2JpMTk=",NA
"aDh0aWVqcDQ1bmx0OmZiMmF2NXRldGc3ODI=","1304800010586"
"aDJtaGd2bjlnY2MyOmYxbW9icTduaTd1Njc=","1304800010622"
"aDluMHNoNXF0NGtsOjZ2dWtkNzdramVvdjM=","1304800010209"
"aDN1cmRtbWhzYmdzOjhrZWk4ZWsycmJ0cjc=","1305101091429"
"aDN2aHFlZ2s0amFvOjVqajJpNXNvZTQybDA=",NA
"aDQ2Z29ocGhlbDYyOjZsc2lkY3Q1YnNkMDk=","130830072"
"aDQ5ZmxjcDRnNzBkOmFrYThqYTFydGwwcXE=","1305101471645"
"aDRjb2Z1Y2ZjY2NvOmNnYm9vb3N2b3BqNnA=","1304800012154"
"aDU3dmhjMG0wMXE0OmZ1MmlucDNzMXA5czY=","130510577_Z"
"aDU4bW5vY3BwbXR2Ojdkc2F1NmQyMmo4MQ==","1304800012845"
"aDVoNjY4NGowZXB2OjFpbThlNms4bG9mY3Y=","1304800012402"
"aDVvMnFtMzYwOXVwOmJrb2VkY2NlZmk3MHI=","1304800010764"
"aDZtYW9uZDJzOGZxOmNua3Y0cXR2dG9xcTk=",NA
"aDZuYnF0bDltNzRkOjZ0dTltNnNjaXJlbW0=","1304800010355"
"aG1jdHV1NmQ0OWdhOjJrbWdzZmQwbHJtcWM=","1305101482291"
"aG4xMTU0dHZtcjNkOjNpbjNsYW9mb2Y4ZHA=","1304800012328"
