"device_IDs","hogares"
"a20wM2ExbzhiNm9tOjdlOWdodDlzMGhsaW8=","1304800012192"
"a21vbzJrczRpZ2JnOjkxOWdnNGRmajE1bA==","1308200020056"
"a284OGwzdTAxMmExOmFxNmFpcG01cjByY2Y=","13038001A"
"a29sanFxbzZwY29pOmU3ZHMxaTUwZjQzaXU=","1304800013044"
"a2E5Nm1ubjFqYWkxOmJyN201NGp1OXZ2azE=",NA
"a2FyODhkOHYxc2pqOjdvZWp1NWk3cGdkNWs=","1304800012347"
"a2hmZWJraWcwbzVzOmIyNGV2a2hqcTdob2E=","130510577_I"
"a2JlMGNlNXI3M2JiOmMwZmd0MGsyNXNxbHE=","1304800012402"
"a2lmdnM1ZjhvNm43OmZta21uMGhrNGVxMWk=","1304800011550"
"a2M0dXFvajVwN2g1OjI5bjZqcWhvZWRvcmY=","130480001004A"
"a2M4bTJvZTZpN2NhOjlzZmJnMDA1MXE5dWw=","1304800010976"
"a2plcnVmOXJtMmFsOmFlcGhndTJpM3I3NHY=","130830034"
"a2puaGZoajNtczAyOjh1N24xdm1jNWNvYmI=","1307700010499"
"a2pvNjM2MGQwMzVlOjllY2FkbWUybDJyZnA=",NA
"a2pxYTg5Zzh2aW83OjhsNzdhcWI5amNvYjc=","1304800011550"
"a2R0a3FiMWszbTMzOmJnZTFlaTUwY2cwbDY=",NA
"a2s1NWF1bGxzZzM6ZHZidHFrbGF1dHFxZQ==","1304800011940"
"a2tncTc5Mm0yOXZzOjNpYmc5dThlaDEwMjU=","1308301330481"
"a2txdWNqbDJzMmhxOjgyN2hibW1xYzJmanE=","1304800010162"
"a2UzNmJjbjFycWZiOjQ5bG9vYm5jYmUxMWo=","1304800012347"
"a2VnZzlmOXU1a29tOmNkMWE2Z2l0N2NiYW4=","1304800010406"
"a2VpdmNyaGNsZm9qOjFzbTZsOTY2bzRpcXU=","1305100141151"
"a2w1cG1qdmlmcW1tOjJkdWtqcGVwY25tMTQ=","1304800011122"
"a2wzYWdxZ2drM3IwOjYxdGNvMmhrOGtsNTA=",NA
"a2x2Nm81ajc5NTZkOmVwdWEyZWpjMHF0MGU=","1304800012667"
"a2xiZWU3OTc2amVtOjVubnZ1dW8xaW0xZ3I=","1306900420656"
"a2Y2YW9zcGVpanNlOjMzOTUyMmxvOG8xdWs=","1304800010425"
"a2ZmcmhoazlzYTI6OXBlbzRxam1mY2prZw==","1306900020514"
"a3JiMHNka3E0am9lOmJhaXJkZzBuaTR2cW0=",NA
"a3JvZmZoOTZqbXBhOmZwYW5pcjhnZXNxYnA=",NA
"a3M2Nm52aDhjMWxwOmpqcXU2bDNpMGRvNw==",NA
"a3M5ZGlycjI0Yzd2OmU5Z2trMDBsdHNtMXY=","1304800011955"
"a3QxaWNxY3VwY21zOjVmZ2o1MGRjN3E3aDg=",NA
"a3RnOGcwcDU1cWwwOjZwZm8yZXFxdTh1Nzg=","1305200010288"
"a3UybTYzbWltNXMxOjhoZTFvdDRhczdmZTI=","1304800012046"
"a3VwcnVxODNsa2YxOjRzOGhpaWcwdW41OWU=",NA
"aDd1MG5zMW1icWJjOmVxczBuazM1Zmp2NW4=","1304800012347"
"aDdwbmQzbDZtaXV0OmJjYnJtZzVhMW51aDU=",NA
"aDFocGVwamQycGYxOmVzNDByNTFpN2Y5aDM=","1304800010209"
"aDFwYm1nMWdjMXBxOmFlaDYzb2Noc2JianU=","1304800010779"
"aDhobTNvcDhvNnBtOjI1ZTc3cmlmaWt2cnA=","1304800011989"
"aDJhY25xcDA4YzJiOmI2ZnBpOTN0YmN2NGI=",NA
"aDJtNWIwYW1kZWtsOjQwNzY3dTZqZm83NnQ=",NA
"aDJyZ3Bub2VkM2thOmI3N2wxZGNlZnF2bm0=","1305101131448"
"aDljY2JtMjBkdjgzOmRhdHJ2NGc2cmkzaTQ=","1305101341876"
"aDMwcnRpam10OG5iOmNsNHVpbXRnMjJrcGk=","1305100842361"
"aDNoZ3E2OWNwYzMwOmRqNjFzcWY2b2ZrbWU=","1307700010696"
"aDR2bWUzdTA0a2RsOmE5MjZkdm9qb3RoZnA=","1305101522395"
"aDRqYjFjdHJkaG04OmZzaDMxNHU5azg4b2o=","1305100270666"
"aDVkdnZ1anY5ZTVkOjIyZWpndmVqb25kZnE=","1304800011565"
"aDVpanR0NWRlNjMwOmVoM3Bjb3F2bWQ4NTM=","1304800012737"
"aDVvZGNkODV1djFtOmVoajY4OXZ1MWlzNA==","1304800011531"
"aDY5cWdycmtpZDg1OjR1cDZ0Z3U5dXQ0YWI=","1305100010168"
"aDZmdjA2a3Ywamd2OmMybjhybjZycXBrYjk=",NA
"aDZscjF2ZmFkODZpOmF2ZHFwbjJzbWFtOGw=","1308301330424"
"aDZvNDM4aHUxODFiOmpxZ2E1MjgxbWtq","1305101421908"
"aG0wcTl0Mm1vb286MnBlazcwdGl1NTJhdQ==","1304800012135"
"aG1nbDF0cTQyN2IyOmVzazYwb3NnZTk2ZDc=","1306900100533"
"aG42ZDFuZHVkZDhmOmRhMzl0bTlybnVsMmo=","1304800010976"
"aG4ya2RvYXZmaHJjOmI0YmszbWdxcTdwdHA=","1304800010389"
"aG5hNmxxY2hnZnVvOmRpbHNlb21tcWswMHM=",NA
"aG5tZTlhajJtcG1wOjhubTRzMWtjdGRkOHA=","1304800010143"
"aGd2cXNraGt0Z2FvOjNxbW02a2kxZmhqNHM=",NA
"aGFtaXVxM2Q5MHNyOjFxYWdtdm1xNzBoZjI=",NA
"aGFxZGEyczBwNjNkOmRsN3RpOGFwcmk0bGQ=","1304800010622"
"aGg5b2IwaTV1bGtrOmQ4Mjk0NmpuMDZpZW4=","1304800010779"
"aGhpZ3Q4dmg2NXRuOmNxZjBpNnNpczRsZzI=","1304800010618"
"aGhsYzU4MnNlaXNtOjJrYmtidDFsOXN1dg==","1304800012370"
"aGIwZGw3NWlqN2g2OjZncm4yYmJ0c2Y1M2E=","1304800012741"
"aGl0c3BjMTlpYmMyOjExYnF2NmhsaG9vbWc=","130520023"
"aGlkMTA4aXI3ZHIzOmZ0NnRrYWwwbHZhZDM=","130690016_I"
"aGNiN3FvMDVoYnV2OjFpZWUzcXB0ZmpuMTY=","1306900420641"
"aGNocDQza3BuOGoxOmV2ZjdlY2FiMzU5dGY=","1304800013129"
"aGNsbnZocWhvOGs2OmNiYzduNXYwZGYwbWE=","1305101011344"
"aGo2NXN2cXA0dWY1OjJ1Y2RoMGJsMmRyMWc=","13022001A"
"aGphYnZrMjBqaDBjOjM5dWhnMHVicTFpMnA=","1304800012614"
"aGpjcjZ0aHZpdDBzOjdjaDNhdGFjOXF2aXQ=",NA
"aGpqZDZobjl0M2U5OmViNHRsZnVla3Nqb2s=","1304800010177"
"aGQ2N2J1Y211cGZuOjJwYjZhNG12MWk5cTA=","1305100141151"
"aGR2MG0wNTJhaWVjOmJ0c2gwczYyZHRqMGs=","1304800011372"
"aGtpMXR0cW5nNjZ2OjQyOTl1Y3BvMWw2OTA=","1308200020126"
"aGU0MnZpcTdocjdoOjh0YzB2NDVrZ25kMjA=",NA
"aGxwbXM0aGc3YjQ2OmFkMWg4M25jcWFuNmg=","1304800010177"
"aGZla21uYXNkMDliOjMxZ284dTRnNW1xYmY=","1304800012366"
"aGZqMGZxaGpnZ2Z1OmRnaWYyOXVnczgwcWI=","1304800012915"
"aHFpOWhndW9kYjV0OjV0aGV0bTI4anVqMDU=",NA
"aHJwZGdzdmg5NmNhOjNmcThpMnNycTdsZXA=","1304800010548"
"aHJxZW1ydHU4ZHA4OjJzZzlybGk0bmpjcjg=","1306900420548"
"aHRwZmM0aHNnYzRsOjhzYjk1ZW1oN2ZtbW4=",NA
"aHV0aXFscm5xcGMwOmNhM3VncGhzZ2tqdTc=","1308301330481"
"aHVrbTUzbDAzbWo1OjI2NTB0MzFzb3NvZGc=","1306900051122"
"aHVtMXR1bDUybnZwOmZwZnAyNGxiZGhyaHE=","130480001292A"
"aHY3OWFkY29pM2g3OmFwcXY4aDZpMTI1YmU=","1304800010124"
"ajAwaHQ5aGs4aTJqOmVjdDE0amgwc2RzNTI=","1305100101128"
"ajBnb2JybmlzbTlrOjc4bDEzY2FlZGY5M2s=",NA
"ajBwOTdzZjluMXFzOmN1dThwbHFrN281Ng==","1304800010764"
"ajcwb3I1NXY2bm9sOmRvZzlhcGFmbnJnMzQ=","1304800011391"
"ajdlZnUxaWNvb3Y3OmE5MDVsc3B0N2k1OW0=","1304800012351"
"ajdnNTc3Zms3MXZsOjdpNmJzNm8wdTAwMW4=","1308301020509"
"ajgyN3ZrbTBxOHByOmVmMm52Z2tzczQxNHM=","130520023"
"ajh2Ymp0dGpoY29uOmNoOXFjcWExYzJwMnU=","1305100291202"
"ajhsMzcxdG5kc2tkOmZoa3Z2ZzNkMnRhZW4=",NA
"ajhyZzJkbTVwbG1jOmI5cDM0YmkyZWR2b2Q=",NA
"ajlsMjRyMHBhMnVqOmUzZWdoNGVzM3Jhb3M=","130510577_Z"
"ajQ5b2tjMGFqMDlsOnZrYWhhYmk1N3Rybw==",NA
"ajQzMnZhbWd1bjVrOjlrcDJwdG5xOWUzdnE=","1306900440800"
"ajRkZnBlZDJsbjBkOjQ2cXBmc24yYmVwYXA=","1304800010143"
"ajRlNWIzdTBvNmFrOmVpZDkzNWttb3A3Y28=","1305101471645"
"ajU3NzEzZW1oZjNlOjI3dG11Nzd2Y3BsaA==","1304800010389"
"ajVrcXZqYmljOGE1OmZ1ampwODNhY3JuY2g=","1304800010779"
"ajZvZTAybG1naHNoOjNzMjU1ZXZzZzVhbXA=","1304800010162"
"am1zdDFpbmF0czNrOmI4bXI5N2txbGQ0Nms=",NA
"am5nbnNzMmVsYXRzOjJkc2R2Yzlnbm05ZnM=",NA
"am5oOHNyZ3VzM25kOmZqcWhtZWFoaDIzcXI=","1305101421908"
"am5wcjhnbTl1MW0yOjhtYzlwNTZ1NWU0ZzQ=","1304800010834"
"amEzb2ljN2RiaTNxOjVpYmRxdXJwN3BvbTU=","1304800010815"
"amg2aGhubHBwZ3ZiOjljN2M4MGFkMXFxaGU=","1304800012807"
"amI0Y2h2MmFyNG9wOmIyZDJxNDBrMzYzcXA=","1304800010764"
"amJ0dmk1Y2R1aWkwOjY5NnNhaDg2ODJ1czg=","1304800011601"
"amNiYW1sOThobHFtOjcyaWozc2JjanYyY3Q=",NA
"amNlbjlicm1jNXVvOmNoYjhyYXJrZ3NnOHM=","1304800010054"
"amNwN25uZGNxbDVpOnEwYTZhYjJuNXRmdA==","1304800012417"
"amNydWdsYTRjam1tOmRmbXBjdmg3ZjJycDM=","1304800010425"
"amozcXRyMTQzZzJxOjRiN2RuN3JkdmJxdDY=","1304800012347"
"amR2ZmczazJnbG1rOmU5azVobGdwdWJvOTM=","1304800010355"
"amszOTVpa3NjOXI1OjgwZDBqcm1kbHMxNWg=","1304800010209"
"amt0NDV0N3Q0ODJmOmY0dmR1a2szNmlic24=",NA
"amt1MGtjOXZyamkxOmVjbmlrdTNlMWszbGY=","1304800012008"
"amtpOXFmOGI0ajMyOmEzdWZmNTl0bW5vZDg=","1304800010976"
"amtvajFtNjExcGNtOmMxZ2JqanVpcG1xZXY=","130510107140A"
"amUwdnUxOTZhdjYxOjVoaWliMGphaTE0bzM=","1304800012648"
"amVjamM4Y2lqZnR2OmM2MHUydjVpY2RrbzI=","1304800010139"
"amx2aTJuM2FvNGJmOmVja3ZkMzBnNGNlNXI=","1304800010923"
"amxsdHE3Z3RiOXRjOnR1aDhxNDBvaGdmZg==","1304800010548"
"amxzMXQ3MG8yOWE1OmQ2NGQ3NzRzaG4wc2o=",NA
"amxzZzUwbmdjcmRpOjIzajFzYWF1Yms1b2k=","1304800012351"
"amY0c3N1Y2ZuYzVqOjFmNW9yb2Fsb2RoN3I=","1308200020268"
"amZmYjE3Mmk1OG1jOjVidjVsMHFhdDM3OGw=","1300800010186"
"anBxbmd0amZudHByOmRqbWF2b3ZuYTk3NDk=","1305100601236"
"anExdDczczZjMWVuOmUxcjE4N2w5aG9vb3E=","1308301330405"
"anFjdWhnYXA2N2ZrOmQxbjc2bGtxMzk0cG0=","130510577_Z"
"anFsN3BndmtsODRuOjRzdjJwZjJtZTN0bjI=","1306900010374"
"anQ1NHRqbGRubDlrOmVzMmYxYWRxbmIwczA=","1305101431607"
"anVhaGhwbWk2OHV2Ojl2MXBtY2IycTZtaDQ=",NA
"anYyZGxrZ3Z2MW9vOmRhcHMza3FxOGsyYjI=",NA
"anZjY2cwOTk2NHRpOmNyb2g2Ymk3bDBxdm4=","1304800010995"
"aTA1bDlrbGE2aWY0OjFpb2pjODJiaWNvMTQ=",NA
"aTA3c3NqbzFmMmNkOjJoYmI2MmFsYmhvdWU=","130510139158A"
"aTBjNGJqb2RqbXU2OmRsNnYzcmcxNWxtMDY=","130480001036A"
"aTBnNGkwZWQzZjBsOmRmMmVvMWM0bWxvMzA=","1304800011940"
"aTBpbzlsdjByaGVmOjQzY3RuNWV1OXJxMHI=",NA
"aTc3a2YzbzVybTJjOjdpbW9mY203ZnVhc28=","130510099172A"
"aTd2ZXBpOGpmOHNpOjQxazZ2Z2Q4Y3RrZW4=",NA
"aTdjaHV1OXRudGd0Ojg4NW1xbTg0NXNrcjY=","1305101371556"
"aTFyMGVtbGlqa3I5OjFmYnBwbTA5dDU3bGs=","130510577_Z"
"aTJhMDlpMXA0MGxhOjZ2ZWZsaW82ajQ4bm8=","1304800012417"
"aTJnMDdtOGs0c3IwOjJ0amdzdWtmajRsOA==","1305101041382"
"aTJqb3Vtc3ZmbzF2OjRtZWpibW1xYTY4a2U=","130480001036A"
"aTJsdTFjODZidHY1OmQxdDUycDI4Zm82aGU=","1304800010228"
"aTNpM3I3MXV1Zmp2OmJkYzNmaDZzb2Q4dTI=","1305101482272"
"aTRlOWtxMHFhc2phOjFkNHMzOWRkNG9oZHA=","1305101081414"
"aTRxMG5pcW9zNmc3OmMwaWM5aGR1M2FyaWI=","130480001285A"
"aTVjOWQzcG5hajI4OmYzcnR2dG02MnMxNGY=",NA
"aTVvOW9kaWtpN3A4Ojgxbmd2MGV1MWIzZA==","1305100270670"
"aTY2Z2RmNzZxY2ozOmU3YWxlZmhtMHZlbDY=",NA
"aTYwM2VlZWVmNDJzOjI5YmY2ZDZsNmpvbDk=","1306900440887"
"aTZpZWRvMWhpcjVmOmVxNHNxaDFoYmNibmg=",NA
"aW1mZ2g3bjNxcTU1Ojd2NnJ0dTk2Y3JuZmo=","130240014"
"aW4xbmdodG5uNXBlOmMzcDJhM2k1Z2JiM2s=","1304800012351"
"aW51ODh1aDEzODNnOmVxcjcycnJwcm43bGk=","130510562_A"
"aW5nZmJhNTF1bmU5OmJwdXBwcHBrdHU3MGk=","1308301330320"
"aW85Nm5hOGI0ZnN2OjExczl2cWljNHY5NnY=","1306900440764"
"aW9tZmUxaXYxMzd0OmRyaG1jcGRpcGJoMjg=","1304800011419"
"aWc1NXBvaWlrODFjOmYyMGJzZnJjZG9qYmo=","1304800012370"
"aWc2amUzb2xucmx0OmU2ZTI1cDdjMHBkOGE=","130510577_Z"
"aWcwZ2RwdjRzNnZzOjhpZGNvMGhsdGQzMmE=","1304800010618"
"aWdpN241ZWxjYWQxOmRoM212MHE0dHZybjc=","1304800011940"
"aWducjZjOTljMmRtOjRwaTJqaW9zNGU5ODA=",NA
"aWFkaTc0MTBtb3VlOmI3NmtjOW9oOXE4MGg=",NA
"aWFlYmFmMG5scjJwOjgyNjllMmhlaW8xY3Y=","1304800010143"
"aWFxcTZkMjFiOWF1OjdyYWxvaGFzYjI5dDY=","1304800012722"
"aWh1bXBlbmoxOTM0OjI5cWIydmJ1dWNnZGg=","1308301330528"
"aWh1MXV2dWFndjhyOjN0cHVnNjhwM2Rscjc=",NA
"aWhhYmYyaTFob2g2OjRpNWc0cm1hczlxajY=","1304800010764"
"aWhocDdmdXFuZ3ZhOmNmaGswNGdka2ZsaHA=","130480001285A"
"aWhzZmx2a2RqODMxOjJldG5mbmY5bnNwZDk=","1304800010389"
"aWIyZ2hwaTBrb2dzOjdrcWhjMnJoOWMwaXY=","1305101512319"
"aWJtZmNodmdiY2w4OjNzazhxMmgxcHYyN2E=","1306900100533"
"aWlpMW5uN2JoaWNmOjN0aG00MTQybWY0ZW4=",NA
