"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"13001001A","130040026",1
"13001001A","130240014",2
"130010024","130010024",3
"130010024","130010039",1
"130010024","130240014",1
"130010024","130770145",2
"130010039","130010024",1
"130010039","130010039",1
"130010039","130770164_X",2
"1300200010125","130020017",1
"1300200010125","130770164_X",1
"130020001013A","13057002A",1
"1300200070229","130020040",1
"1300200160182","13057002A",1
"130020017","130020017",2
"130020017","130020040",1
"130020017","13057002A",1
"130020017","130770145",1
"130020017","130770164_X",1
"130020040","130020017",1
"130020040","130020040",5
"130020040","130760063",1
"130020040","1307700010520",1
"130020040","130770001054A",2
"130020040","1307700010677",1
"130020040","130770145",1
"1300300010103","130540013",1
"1300300010118","130030001032A",1
"1300300010118","1300300010368",1
"1300300010118","130030033",2
"1300300010141","1300300010368",1
"1300300010141","1300300100230",1
"1300300010141","130030090",1
"1300300010156","1300300010368",2
"1300300010156","130030090",2
"1300300010156","130100001017A",1
"1300300010160","1300300010141",1
"1300300010160","130030033",2
"1300300010160","130520038",1
"1300300010175","1300300010160",1
"1300300010175","1300300010279",1
"1300300010175","1302300010074",2
"130030001018A","130230017",1
"130030001018A","1303000480420",1
"130030001018A","130480001075A",1
"130030001018A","130540117",1
"1300300010211","1300300010160",2
"1300300010211","130520023",1
"1300300010226","1300300010368",3
"1300300010226","130030090",2
"130030001025A","1302300120055",1
"1300300010264","130030029_K",1
"1300300010279","1300300010122",1
"1300300010279","1300300010175",1
"1300300010279","130030001018A",1
"1300300010283","1300300010175",2
"1300300010283","130030090",1
"1300300010283","1300900010145",1
"1300300010315","130090018",1
"1300300010334","130030090",1
"1300300010349","130030001018A",1
"1300300010349","1300300010283",1
"1300300010353","1300300010160",1
"1300300010353","1300300010283",1
"1300300010368","1300300010283",1
"1300300010368","130030090",48
"1300300010368","130540013",1
"1300300010372","1300300010156",1
"1300300010372","1300300010160",1
"1300300010372","1300300010368",2
"1300300010372","130030033",2
"1300300050391","130030001018A",1
"1300300050391","1300300050404",1
"1300300050391","130030029_P",1
"1300300050391","130550010",1
"1300300050404","130030001018A",1
"1300300100230","130030090",2
"1300300100230","130090018",1
"1300300100245","130030090",2
"1300300100245","130090018",1
"1300300120086","1300300010160",1
"1300300120086","1300300010175",1
"1300300120086","1300900010126",1
"1300300120086","1303000010204",1
"1300300120086","1303000010346",1
"130030014","130030033",1
"1300300140387","130090018",1
"1300300140387","1305400190102",1
"130030029_K","1300300010160",1
"130030029_K","130030029_K",7
"130030029_K","130550010",1
"130030033","130030001018A",1
"130030033","1300300010353",1
"130030033","130030033",2
"130030033","130510562_A",1
"130030033","130510577_Z",2
"130030090","1300300010211",1
"130030090","1300300100230",2
"130030090","1300300100245",1
"130030090","1300300140387",1
"130030090","130030033",1
"130030090","130030090",2
"130030090","130090018",3
"130030090","130100339",2
"1300400010045","130160205",1
"130040011","130040011",1
"130040026","130040001005A",1
"130040026","1300400010064",1
"1300500010112","1300500010201",1
"1300500010199","1300500010199",1
"1300500010199","1300500010216",1
"1300500010199","130650001006A",1
"1300500010199","1306500010106",1
"1300500010201","130050019",1
"1300500010201","130650017",4
"1300500010451","1307400010162",2
"130050005024A","1300500010184",1
"130050005024A","130050038_V",2
"130050005024A","1306500010055",1
"1300500060076","130050038_V",1
"130050019","130650001006A",1
"130050019","1306500010233",1
"130050019","130650017",1
"130050038_V","130050005024A",1
"130060016","130060016",1
"130060016","130300035044A",1
"130060016","13030005A",1
"130060016","1307600010400",1
"130060020","130060016",1
"130060020","130290044",1
"130060035","13006004A",1
"130060035","13030005A",1
"13006004A","130060020",1
"13006004A","13006004A",1
"130070001009A","130070047",1
"130070001009A","130080044",1
"130070028","1300800010307",1
"130070047","130070047",1
"1300800010059","1300800050129",1
"1300800010059","13008003A",1
"1300800010063","1306100020126",1
"1300800010097","130070001009A",1
"1300800010097","130080025",1
"1300800010097","13008003A",1
"1300800010097","1306100010304",1
"1300800010097","130610022",1
"1300800010152","1300800010294",1
"1300800010152","1306100020126",1
"1300800010167","1300800010114",1
"1300800010167","1300800010294",1
"1300800010171","1300800010097",1
"1300800010171","1300800010294",1
"1300800010171","130080025",1
"1300800010171","130610037",1
"1300800010241","130080044",1
"1300800010260","13008003A",1
"130080001028A","1300800010097",1
"130080001028A","13008003A",1
"130080001028A","1302100010116",1
"130080001028A","1306100020446",1
"130080001028A","130610037",1
"1300800010294","130720026",1
"1300800050129","130080044",1
"130080025","1300800010171",1
"130080025","1300800010256",2
"130080025","130080001028A",1
"130080025","130210031",2
"130080025","130610037",1
"13008003A","1300800010171",2
"13008003A","1300800010186",1
"13008003A","13008003A",3
"13008003A","1306100010304",1
"13008003A","1306100020427",1
"13008003A","1306100020501",1
"13008003A","130610037",2
"13008003A","130720011",2
"130080044","1300700010066",1
"130080044","1300800010171",1
"130080044","1300800110311",2
"130080044","130080044",1
"130080044","130610037",1
"1300900010126","1300900010126",1
"1300900010145","130090018",3
"1300900010145","1302300120055",1
"1300900010145","1304800012385",1
"1300900010145","130520023",1
"1300900050111","1300300010283",1
"1300900050111","1300300120086",1
"130090018","1300300010118",1
"130090018","1300300010122",1
"130090018","1300300010211",1
"130090018","1300300010334",2
"130090018","1300300100230",1
"130090018","130030033",2
"130090018","130030090",3
"130090018","1300900010145",1
"130090018","130090018",7
"130090018","13041002A",1
"130090018","1304800010213",1
"130090018","130520023",1
"130090018","130550059",1
"1301000010023","1301000010023",1
"1301000010023","1301300010148",1
"1301000010023","130540121",1
"1301000010042","1301000020080",1
"1301000010042","1301300010133",1
"1301000010042","130570015",1
"1301000010042","1307000010021",1
"1301000010042","1307000010036",1
"1301000010042","1307600010400",1
"1301000010042","130760010",1
"1301000010042","130760044",1
"1301000010165","130740016",1
"130100001017A","130030090",1
"130100001017A","1300500010201",1
"130100001017A","130670030",1
"130100001017A","130740016",1
"130100001017A","1307600220059",2
"130100001017A","130760044",1
"1301000020080","1301000010023",1
"1301000020080","1301000020108",1
"1301000020095","1301000020080",1
"1301000020362","130100324",1
"1301000020362","130740016",1
"1301000060273","1301000020254",1
"1301000060343","130740016",1
"1301000070038","1300800010171",1
"1301000070038","1301000020108",1
"1301000070038","1301000070038",1
"1301000070038","130100339",3
"1301000070038","13013003A",2
"1301000070038","130660014",1
"1301000070038","1306700010399",1
"1301000070038","1307400010177",3
"1301000070038","1307500010189",1
"1301000080288","1301000020080",2
"1301000080288","130100324",1
"130100008031A","1301300100222",1
"130100324","1301000020080",1
"130100324","1301000020269",1
"130100324","1301000070038",1
"130100324","130100324",12
"130100324","1301300100222",1
"130100324","1301300100237",1
"130100324","130130044",1
"130100324","1307600080701",1
"130100324","130760025",1
"130100324","130760044",1
"130100324","130760063",1
"130100339","130030090",1
"130100339","1301000010042",1
"130100339","1301000070038",1
"130100339","1301000080288",1
"130100339","130100324",1
"130100339","130100339",3
"130100339","1301300100237",1
"130100339","1303000010134",1
"130100339","130660014",1
"130100339","1307400020092",1
"130100339","130740016",1
"130100339","130750013_Q",2
"130100339","1307600220059",2
"130100339","130760025",1
"130100339","130760044",1
"130100339","130760063",1
"130110035","130110035",1
"130110035","13011004A",2
"13011004A","1301100010069",1
"13011004A","130110035",1
"13011004A","13011004A",1
"1301200010085","130120066",1
"1301200010117","130120066",1
"1301200010117","1303900010089",1
"1301200010121","1301200010117",1
"1301200010121","130120066",1
"1301200010136","130120013",1
"130120013","130120013",12
"130120013","130120032",1
"130120013","130120066",2
"130120013","130450014",1
"130120032","130120013",1
"130120032","130120032",1
"130120032","130680019",1
"130120066","1301200010121",1
"130120066","130120013",3
"130120066","130120032",1
"130120066","130120066",2
"130120066","130240014",1
"130120066","130240048",12
"1301300010078","1301300010133",1
"1301300010133","1301300010078",1
"1301300010133","1301300010082",1
"1301300010133","1301300010148",1
"1301300010133","1301300100222",1
"1301300010133","130130010_X",1
"1301300010148","1301000070038",1
"1301300010148","130130044",1
"1301300010148","1307000030055",1
"1301300060114","1301300010133",1
"1301300060114","1301300060129",1
"1301300060129","130100324",1
"1301300060129","1301300010078",1
"1301300060129","1301300100222",1
"1301300060129","1301300100237",1
"1301300060129","1307600220059",2
"1301300060241","1301300060114",1
"1301300100222","1301000080292",1
"1301300100222","1301300010082",1
"1301300100222","130130010_X",1
"1301300100237","1301300010082",1
"1301300100237","1307600080701",1
"130130010_X","130100339",1
"130130010_X","1301300010078",2
"130130010_X","1301300010148",1
"130130010_X","1301300060129",1
"130130010_X","130130010_X",5
"130130010_X","130670009044A",1
"130130010_X","130810010",1
"1301300130203","1301300010078",1
"1301300130203","130130010_X",1
"1301300130260","130130010_X",2
"13013003A","1301000010165",1
"13013003A","1301000080292",1
"13013003A","130100339",2
"13013003A","130130010_X",2
"13013003A","1301300130203",1
"13013003A","13013003A",4
"13013003A","130630012",1
"13013003A","1306700060435",1
"13013003A","1306700080420",1
"13013003A","130690016_I",1
"13013003A","130750013_Q",1
"130130044","1301300060114",1
"130130044","130130010_X",1
"130130044","1301300330491",1
"1301400010075","130140018",1
"1301400010094","130140018",1
"1301400010145","130140037",1
"130140037","130680019",1
"130150015","130150015",4
"130150015","130150053",2
"130150034","130370027",1
"130150049","1303000010350",1
"130150053","130150053",1
"130150053","130300030",1
"1301600010050","1301600010050",2
"1301600010050","1301600010101",1
"1301600010050","130160205",2
"1301600010050","1307700010342",1
"1301600010065","1301600290277",1
"1301600010065","130160205",1
"1301600010065","130770145",1
"1301600010084","1301600010050",2
"1301600010084","1306100020499",1
"1301600010101","1301600010101",1
"1301600010101","1307700011001",2
"1301600010116","1304800012192",1
"1301600010116","1307700010215",1
"1301600010120","13056015A",1
"1301600010120","1307700010499",1
"1301600010120","130770164_X",1
"1301600010188","1301600010116",1
"1301600010309","1301600010065",1
"1301600010309","130160205",1
"1301600010313","130770164_X",1
"1301600210281","1301600210296",1
"130160027","130160205",2
"1301600290262","130160205",2
"1301600290277","130160205",3
"130160031","1301600010116",1
"130160031","130160031",2
"130160031","130160205",1
"1301600390328","1301600010188",1
"1301600390332","1301600010050",2
"1301600390332","1301600010065",1
"1301600390332","1301600010309",1
"1301600390332","1301600390332",1
"130160046","130160031",2
"130160046","130160046",2
"130160205","1301600010050",1
"130160205","1301600010065",1
"130160205","130160027",2
"130160205","1301600290277",4
"130160205","130160031",2
"130160205","130160046",4
"130160205","130160205",9
"130160205","130510107140A",1
"130160205","1305600010075",1
"130160205","1307700010342",1
"1301700010058","130170024",1
"130170024","130640024",1
"130170024","130740016",1
"130170039","130170039",1
"130180017","130180017",2
"130180017","130180021",3
"130180017","1304900010047",1
"1301900010033","130190014",1
"1301900010033","130300026",1
"1301900010033","1305000030118",1
"1301900010052","130670011_W",1
"130190014","130190014",3
"130190014","130300030",1
"130190014","130500014",1
"130190014","130500029",1
"130190014","130540051",1
"1301900150086","1304100010195",1
"1301900150086","130410119",1
"1301900150086","1307000010074",1
"1301900150090","130670011_W",1
"130190029","1301900150086",1
"130190029","1304100010208",1
"130200034","130370050",1
"130210001007A","1300800110148",1
"130210001007A","13008003A",1
"130210001007A","130080044",1
"1302100010116","130210012",1
"1302100010116","1306900440887",1
"1302100010135","1302100010116",1
"130210012","130080001028A",1
"130210012","130080044",1
"130210012","130100339",1
"130210012","1302100010101",1
"130210012","130210012",8
"130210012","130610037",2
"130210012","130660014",5
"130210012","13083002A",1
"130210031","130080025",2
"130210031","130210012",1
"130210031","130670030",1
"1302200010077","1304800011531",1
"13022001A","13022001A",11
"13022001A","130390001006A",1
"13022001A","1304800011071",1
"13022001A","1305100010168",1
"13022001A","1305100010191",1
"13022001A","1305100010204",1
"13022001A","1305101482183",1
"13022001A","130510562_A",1
"13022001A","130510577_Z",2
"13022001A","130770001022A",1
"13022001A","130770164_X",1
"130220024","130480016",1
"130220024","1305101512319",1
"130220024","1305101512323",1
"130220024","130510577_Z",2
"130220024","130830072",2
"1302300010036","1302300010036",1
"1302300010036","1302300010074",1
"1302300010036","1302300140125",1
"1302300010036","130230017",1
"1302300010036","130410015",1
"1302300010036","1305000010090",2
"1302300010036","1305101081414",1
"1302300010040","130230017",1
"1302300010040","130670011_W",1
"130230001006A","1302300010036",1
"130230001006A","130230017",1
"1302300010089","1305000010048",1
"1302300120055","130030029_K",2
"1302300120055","1302300120055",1
"1302300120055","1304800012101",1
"1302300140093","1302300140125",2
"1302300140093","130230017",2
"1302300140110","130230017",2
"1302300140125","1302300140110",3
"130230017","1300900010130",1
"130230017","1302300010036",1
"130230017","130230001006A",2
"130230017","1302300010089",1
"130230017","1302300120055",2
"130230017","1302300140093",1
"130230017","130230017",4
"130230017","130240048",3
"130230017","13030005A",1
"130230017","1304800012347",1
"130230017","1305000010048",2
"130230017","1305400190102",1
"130230017","130840065",2
"130240014","130120013",1
"130240014","1302400010052",2
"130240014","130240014",16
"130240014","130240029",1
"130240014","130240033",1
"130240014","130240048",1
"130240029","130240014",1
"130240033","130240033",1
"130240033","130240048",1
"130240048","130120066",3
"130240048","130230017",1
"130240048","130240014",2
"130240048","130240048",6
"130240048","130450014",1
"130240048","130840065",1
"130250026","130250026",1
"13025005A","13025005A",1
"130270035","130270035",1
"1302800010136","1302800010314",1
"1302800010206","1302800010193",2
"1302800010210","130280051",1
"1302800010244","1302800010314",1
"1302800010244","1302800010545",2
"1302800010263","1302800010244",1
"1302800010263","1302800010259",1
"1302800010263","1302800010437",1
"1302800010314","130280051",2
"130280001048A","1302800010494",1
"1302800010494","1302800010526",1
"1302800010507","1302800010210",1
"130280013","130280013",1
"130280047","130280013",1
"130280047","130280047",4
"130280047","130320016",1
"130280047","130730019",1
"130280051","1302800010263",2
"130280051","130280051",2
"1302800880456","130730023",1
"130290001010A","1302900010114",1
"130290001010A","13029003A",1
"130290001010A","130290044",1
"1302900010114","130290001010A",1
"1302900010114","13029003A",1
"1302900010114","130290044",1
"1302900010114","130290078",2
"1302900010256","130290001010A",1
"1302900010256","130290063",1
"1302900010256","130290078",1
"1302900010256","130440017",1
"130290010","130290010",1
"130290010","130290044",1
"1302900240167","130290010",1
"1302900240167","130290078",1
"1302900290222","1302900290218",1
