"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"13001","13001",3714.44
"13001","13002",49.46
"13001","13004",127.99
"13001","13012",335.82
"13001","13014",24.57
"13001","13024",99.74
"13001","13035",648.94
"13001","13048",60.52
"13001","13056",25.25
"13001","13057",29.74
"13001","13077",1781.03
"13001","13078",24.57
"13002","13002",7422.84
"13002","13016",483.01
"13002","13035",49.14
"13002","13048",62.38
"13002","13057",69.6
"13002","13077",1867.15
"13002","13083",222.49
"13003","13003",25125.66
"13003","13009",1934.74
"13003","13010",124.06
"13003","13015",26.01
"13003","13019",24.46
"13003","13021",18.63
"13003","13022",34.38
"13003","13023",303.54
"13003","13029",91.21
"13003","13030",820.64
"13003","13041",26.25
"13003","13048",3565.93
"13003","13051",352.18
"13003","13052",303.47
"13003","13054",2058.66
"13003","13055",952.06
"13003","13056",48.36
"13003","13058",27.25
"13003","13061",61.42
"13003","13063",10.18
"13003","13065",302.54
"13003","13069",112.6
"13003","13070",73.86
"13003","13075",23.17
"13003","13076",23.44
"13003","13077",79.97
"13003","13083",23.58
"13003","13084",24.46
"13004","13004",613.89
"13004","13024",129.69
"13004","13035",166.84
"13004","13077",511.73
"13005","13005",14452.66
"13005","13041",337.21
"13005","13048",1646.81
"13005","13052",238.21
"13005","13065",2265.2
"13005","13067",4.05
"13005","13070",25.57
"13005","13074",337.48
"13006","13003",29.64
"13006","13006",1154.52
"13006","13017",543.37
"13006","13029",248.99
"13006","13030",77.37
"13006","13044",137.71
"13006","13055",23.58
"13006","13058",28.86
"13006","13064",30.57
"13006","13076",23.44
"13006","13084",26.25
"13007","13007",3023.71
"13007","13008",572.6
"13007","13061",1251.23
"13007","13072",411.91
"13007","13077",131.42
"13007","13083",72.98
"13008","13007",666.77
"13008","13008",16869.88
"13008","13010",105.82
"13008","13016",164.94
"13008","13021",4111.72
"13008","13048",314.59
"13008","13051",23.59
"13008","13052",114.07
"13008","13057",72.98
"13008","13061",5774.6
"13008","13066",23.58
"13008","13069",24.57
"13008","13072",597.11
"13008","13075",22.3
"13008","13077",897.63
"13009","13003",2655.33
"13009","13006",23.44
"13009","13009",4366.19
"13009","13015",26.25
"13009","13023",49.04
"13009","13029",23.59
"13009","13030",51.98
"13009","13038",76.69
"13009","13048",1208.97
"13009","13051",68.19
"13009","13052",879.98
"13009","13054",148.57
"13009","13055",405.72
"13009","13070",18.08
"13009","13075",54.92
"13009","13082",3916.64
"13010","13003",327.25
"13010","13010",33221.6
"13010","13013",3829.19
"13010","13029",23.17
"13010","13030",113.22
"13010","13036",46.95
"13010","13041",187.73
"13010","13048",828.13
"13010","13050",79.8
"13010","13051",47.44
"13010","13056",23.59
"13010","13065",1013.69
"13010","13066",72.16
"13010","13067",329.78
"13010","13069",23.44
"13010","13070",254.88
"13010","13074",834.74
"13010","13075",75.08
"13010","13076",9979.01
"13010","13082",23.58
"13010","13084",31.34
"13011","13011",1432.32
"13011","13028",529.34
"13011","13073",26.05
"13012","13001",29.74
"13012","13003",63.5
"13012","13008",276.53
"13012","13012",6898.77
"13012","13018",22.99
"13012","13024",1141.92
"13012","13030",24.73
"13012","13035",25.25
"13012","13036",274.43
"13012","13037",309.08
"13012","13039",129.69
"13012","13045",567.34
"13012","13048",268.06
"13012","13051",273.87
"13012","13077",114.54
"13012","13081",29.64
"13012","13083",49.32
"13013","13010",1540.13
"13013","13013",22749.23
"13013","13023",57.78
"13013","13041",24
"13013","13048",53.36
"13013","13051",26.25
"13013","13063",1693.6
"13013","13066",41.84
"13013","13067",300.71
"13013","13070",195.81
"13013","13074",210.39
"13013","13075",143.91
"13013","13076",500.23
"13013","13083",8.94
"13014","13012",25.87
"13014","13014",4647.91
"13014","13025",186.88
"13014","13034",26.25
"13014","13051",97.09
"13014","13068",23.59
"13015","13015",2036.36
"13015","13018",28.86
"13015","13029",71.33
"13015","13030",730.85
"13015","13043",120.21
"13015","13048",78.38
"13015","13058",28.86
"13015","13071",54.92
"13016","13001",26.01
"13016","13002",25.25
"13016","13004",143.38
"13016","13008",371.39
"13016","13016",18797.64
"13016","13021",25.1
"13016","13024",35.5
"13016","13035",26.05
"13016","13048",53.26
"13016","13051",129.14
"13016","13056",1805.86
"13016","13057",49.18
"13016","13061",79.66
"13016","13077",7440.63
"13016","13083",241.73
"13017","13006",281.82
"13017","13017",585.76
"13017","13044",1026.58
"13017","13063",355.11
"13017","13064",502.85
"13018","13018",1317.11
"13018","13030",91.9
"13018","13031",66.49
"13018","13040",24.73
"13018","13062",185.52
"13019","13010",24.73
"13019","13019",1023.32
"13019","13023",59.77
"13019","13030",95.65
"13019","13041",813.09
"13019","13050",267.5
"13019","13063",26.25
"13019","13067",185.86
"13019","13076",24.46
"13020","13015",225.07
"13020","13020",78.08
"13020","13037",51.12
"13021","13008",4870.51
"13021","13021",2154.56
"13021","13048",8.86
"13021","13051",48.21
"13021","13057",25.25
"13021","13061",2754.38
"13021","13066",83.23
"13021","13067",26.01
"13021","13069",35.37
"13021","13072",69.06
"13021","13075",46.43
"13021","13077",53.3
"13021","13083",53.18
"13022","13012",26.05
"13022","13022",3001.48
"13022","13036",22.3
"13022","13039",26.01
"13022","13048",1651.81
"13022","13051",1468.29
"13022","13056",48.16
"13022","13057",109.47
"13022","13069",16.24
"13022","13077",48.32
"13022","13082",23.44
"13022","13083",375.33
"13023","13003",382.23
"13023","13005",106.21
"13023","13009",169.24
"13023","13019",24.46
"13023","13023",9672.44
"13023","13024",429
"13023","13030",58.42
"13023","13035",92.05
"13023","13041",482.2
"13023","13048",109.58
"13023","13050",145.26
"13023","13051",282.52
"13023","13052",24.57
"13023","13054",830.44
"13023","13055",47.9
"13023","13065",43.48
"13023","13070",176.79
"13023","13074",96.85
"13023","13076",82.58
"13023","13077",23.17
"13023","13084",1004.09
"13024","13001",81.75
"13024","13002",25.87
"13024","13003",26.05
"13024","13012",1653.66
"13024","13023",606.13
"13024","13024",2957.37
"13024","13035",97.83
"13024","13036",27.25
"13024","13037",47.59
"13024","13038",22.3
"13024","13045",243.67
"13024","13048",152.53
"13024","13051",168.94
"13024","13052",26.01
"13024","13068",25.87
"13024","13077",1533.05
"13024","13083",29.64
"13024","13084",2017.22
"13025","13025",978.33
"13025","13028",182.32
"13025","13080",127.99
"13026","13025",23.44
"13026","13080",24.57
"13027","13009",118.8
"13027","13027",677.13
"13027","13053",22.99
"13028","13011",205.1
"13028","13012",12.4
"13028","13025",26.25
"13028","13028",30545.3
"13028","13029",41.17
"13028","13032",123.3
"13028","13042",37.13
"13028","13046",1075.62
"13028","13048",195.92
